Year,Month,Coastal Tmin,Middle Tmin,Northern Tmin
1970,5,23.91870968,22.52258065,23.62903226
1970,6,23.434,22.30733333,23.06083333
1970,7,22.8716129,21.39741935,22.14919355
1970,8,21.99096774,21.47096774,21.88951613
1970,9,22.89466667,21.40133333,21.2775
1970,10,23.37225806,21.77870968,22.1516129
1970,11,23.26533333,21.61066667,20.66166667
1970,12,23.12967742,20.50774194,19.46290323
1971,1,23.00258065,19.84967742,18.71129032
1971,2,23.46571429,22.08357143,22.69642857
1971,3,23.91870968,22.66774194,24.70645161
1971,4,24.036,22.33333333,24.53333333
1971,5,23.91290323,22.27548387,23.82258065
1971,6,22.88466667,21.614,22.275
1971,7,22.34580645,21.20322581,21.62741935
1971,8,21.80903226,20.95612903,21.59032258
1971,9,22.20466667,21.08666667,21.345
1971,10,23,21.28967742,21.33790323
1971,11,23.424,21.74466667,20.16416667
1971,12,22.4283871,20.04580645,19.99354839
1972,1,23.29612903,21.11032258,19.22741935
1972,2,24.12275862,22.49586207,22.94224138
1972,3,24.01612903,22.45741935,24.53790323
1972,4,23.856,22.542,24.44416667
1972,5,24.01096774,22.60064516,23.85564516
1972,6,23.03866667,21.69733333,22.52083333
1972,7,22.81225806,21.84774194,22.29758065
1972,8,21.54645161,21.39548387,21.93225806
1972,9,22.452,21.90866667,21.94166667
1972,10,23.70645161,22.08645161,21.88790323
1972,11,23.91733333,22.252,19.46416667
1972,12,23.96903226,21.35741935,20.19758065
1973,1,24.22387097,20.93225806,20.77983871
1973,2,25.29428571,23.56142857,23.4625
1973,3,24.73612903,23.42387097,25.08629032
1973,4,24.69933333,23.43733333,25.37
1973,5,24.09741935,23.00774194,23.96774194
1973,6,23.54466667,22.13933333,22.5975
1973,7,23.02967742,21.94322581,22.62258065
1973,8,22.86193548,21.9116129,21.92580645
1973,9,23.22733333,21.72333333,21.59333333
1973,10,23.54064516,21.93935484,22.19193548
1973,11,23.432,21.42133333,19.55833333
1973,12,23.30387097,20.86451613,19.28306452
1974,1,22.63225806,19.88516129,19.74354839
1974,2,24.41785714,22.49,21.80625
1974,3,24.42903226,22.83225806,24.78548387
1974,4,24.174,22.87733333,24.9825
1974,5,23.50645161,22.35806452,23.8266129
1974,6,22.85,21.96266667,22.8025
1974,7,22.72645161,21.55290323,21.73709677
1974,8,22.36645161,21.48774194,22.13548387
1974,9,22.40733333,21.316,21.1775
1974,10,22.8483871,21.70322581,7.085483871
1974,11,23.41266667,21.506,19.51333333
1974,12,22.82387097,20.13290323,17.7483871
1975,1,22.14387097,18.96193548,18.19516129
1975,2,23.81857143,22.04071429,21.45446429
1975,3,24.04258065,23.04645161,24.15241935
1975,4,23.60533333,17.88933333,24.35333333
1975,5,23.62709677,22.5883871,23.57258065
1975,6,22.82,22.046,22.555
1975,7,22.21741935,21.46774194,21.5983871
1975,8,21.76967742,21.19612903,21.68870968
1975,9,21.86133333,21.16533333,21.55916667
1975,10,22.90645161,21.45741935,21.77016129
1975,11,23.18333333,22.08333333,20.19833333
1975,12,22.69806452,21.04709677,19.25483871
1976,1,22.44903226,20.17677419,19.54516129
1976,2,23.39793103,22.30413793,22.67068966
1976,3,23.90387097,22.91548387,24.04112903
1976,4,24.09833333,-13.59333333,24.86833333
1976,5,24.07258065,23.45806452,24.34516129
1976,6,17.95416667,21.955,21.8125
1976,7,22.16387097,21.43935484,22.21532258
1976,8,21.41612903,21.10258065,21.66129032
1976,9,22.13066667,21.516,21.8575
1976,10,22.98709677,21.90451613,21.73951613
1976,11,23.23866667,21.54733333,21.02833333
1976,12,23.48967742,20.72967742,17.59569892
1977,1,23.70322581,21.85806452,20.21048387
1977,2,24.66071429,22.85428571,21.55267857
1977,3,24.88258065,23.82129032,24.44677419
1977,4,24.85933333,23.74666667,26.11083333
1977,5,24.16064516,23.17419355,24.32580645
1977,6,23.56533333,22.33533333,22.93583333
1977,7,22.85290323,21.84580645,22.43548387
1977,8,21.92451613,21.33483871,21.91532258
1977,9,22.924,22.07133333,21.90333333
1977,10,23.46903226,22.05548387,21.78629032
1977,11,23.79533333,22.064,19.28666667
1977,12,23.04645161,7.840322581,18.34919355
1978,1,24.10322581,22.12516129,19.56290323
1978,2,24.78642857,23.28571429,23.05535714
1978,3,24.47096774,22.98774194,24.82419355
1978,4,23.734,22.95,24.28166667
1978,5,24.0483871,22.90193548,23.53225806
1978,6,23.032,22.048,22.55666667
1978,7,21.79483871,20.31096774,21.92822581
1978,8,22.11935484,21.48225806,21.99677419
1978,9,22.632,21.31466667,21.64083333
1978,10,23.36322581,21.99096774,22.05080645
